Price,Datetime,Close,High,Low,Open,Volume,timestamp,SMA20,SMA50
Ticker,,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,,,
0,2025-05-15 03:45:00+00:00,1424.199951171875,1425.5,1423.199951171875,1423.4000244140625,0,2025-05-15 03:45:00+00:00,,
1,2025-05-15 03:46:00+00:00,1421.5,1425.199951171875,1421.4000244140625,1424.5,37396,2025-05-15 03:46:00+00:00,,
2,2025-05-15 03:47:00+00:00,1421.699951171875,1423.0,1421.300048828125,1421.800048828125,68483,2025-05-15 03:47:00+00:00,,
3,2025-05-15 03:48:00+00:00,1420.699951171875,1421.699951171875,1420.5999755859375,1421.699951171875,49617,2025-05-15 03:48:00+00:00,,
4,2025-05-15 03:49:00+00:00,1420.0,1420.9000244140625,1419.5999755859375,1420.800048828125,89371,2025-05-15 03:49:00+00:00,,
5,2025-05-15 03:50:00+00:00,1418.4000244140625,1420.0999755859375,1418.0,1419.9000244140625,75135,2025-05-15 03:50:00+00:00,,
6,2025-05-15 03:51:00+00:00,1419.5999755859375,1419.9000244140625,1418.0999755859375,1418.4000244140625,45002,2025-05-15 03:51:00+00:00,,
7,2025-05-15 03:52:00+00:00,1418.5,1419.5999755859375,1418.0999755859375,1419.5,78927,2025-05-15 03:52:00+00:00,,
8,2025-05-15 03:53:00+00:00,1419.199951171875,1419.300048828125,1417.5999755859375,1418.5,41183,2025-05-15 03:53:00+00:00,,
9,2025-05-15 03:54:00+00:00,1420.9000244140625,1421.4000244140625,1419.300048828125,1419.300048828125,28700,2025-05-15 03:54:00+00:00,,
10,2025-05-15 03:55:00+00:00,1420.800048828125,1422.0,1420.300048828125,1420.800048828125,32420,2025-05-15 03:55:00+00:00,,
11,2025-05-15 03:56:00+00:00,1418.5,1421.0,1418.0999755859375,1421.0,22280,2025-05-15 03:56:00+00:00,,
12,2025-05-15 03:57:00+00:00,1419.0,1419.699951171875,1418.5,1418.5,23412,2025-05-15 03:57:00+00:00,,
13,2025-05-15 03:58:00+00:00,1417.4000244140625,1419.0999755859375,1417.300048828125,1419.0,28248,2025-05-15 03:58:00+00:00,,
14,2025-05-15 03:59:00+00:00,1417.800048828125,1418.199951171875,1417.4000244140625,1417.4000244140625,32095,2025-05-15 03:59:00+00:00,,
15,2025-05-15 04:00:00+00:00,1417.5,1419.0999755859375,1417.5,1419.0999755859375,22580,2025-05-15 04:00:00+00:00,,
16,2025-05-15 04:01:00+00:00,1418.300048828125,1419.5,1417.9000244140625,1418.4000244140625,36299,2025-05-15 04:01:00+00:00,,
17,2025-05-15 04:02:00+00:00,1418.4000244140625,1418.800048828125,1417.699951171875,1418.199951171875,24835,2025-05-15 04:02:00+00:00,,
18,2025-05-15 04:03:00+00:00,1418.0999755859375,1418.699951171875,1417.800048828125,1418.4000244140625,22581,2025-05-15 04:03:00+00:00,,
19,2025-05-15 04:04:00+00:00,1417.0,1418.0999755859375,1417.0,1418.0999755859375,32416,2025-05-15 04:04:00+00:00,1419.375,
20,2025-05-15 04:05:00+00:00,1416.4000244140625,1416.5999755859375,1415.199951171875,1416.199951171875,67069,2025-05-15 04:05:00+00:00,1418.9850036621094,
21,2025-05-15 04:06:00+00:00,1417.0,1418.0,1416.199951171875,1416.4000244140625,41675,2025-05-15 04:06:00+00:00,1418.7600036621093,
22,2025-05-15 04:07:00+00:00,1416.9000244140625,1417.5999755859375,1416.0,1417.300048828125,40519,2025-05-15 04:07:00+00:00,1418.5200073242188,
23,2025-05-15 04:08:00+00:00,1416.199951171875,1416.9000244140625,1416.0999755859375,1416.800048828125,17846,2025-05-15 04:08:00+00:00,1418.2950073242187,
24,2025-05-15 04:09:00+00:00,1415.5999755859375,1416.800048828125,1415.5999755859375,1415.800048828125,35523,2025-05-15 04:09:00+00:00,1418.0750061035155,
25,2025-05-15 04:10:00+00:00,1415.300048828125,1416.0999755859375,1415.300048828125,1415.5999755859375,24130,2025-05-15 04:10:00+00:00,1417.9200073242187,
26,2025-05-15 04:11:00+00:00,1415.300048828125,1415.4000244140625,1415.0999755859375,1415.0999755859375,24889,2025-05-15 04:11:00+00:00,1417.705010986328,
27,2025-05-15 04:12:00+00:00,1415.300048828125,1415.699951171875,1415.199951171875,1415.5,27895,2025-05-15 04:12:00+00:00,1417.5450134277344,
28,2025-05-15 04:13:00+00:00,1415.5999755859375,1416.0,1415.0999755859375,1415.0999755859375,39199,2025-05-15 04:13:00+00:00,1417.3650146484374,
29,2025-05-15 04:14:00+00:00,1415.800048828125,1416.300048828125,1415.0999755859375,1415.699951171875,61798,2025-05-15 04:14:00+00:00,1417.1100158691406,
30,2025-05-15 04:15:00+00:00,1413.699951171875,1415.699951171875,1413.4000244140625,1415.699951171875,154250,2025-05-15 04:15:00+00:00,1416.7550109863282,
31,2025-05-15 04:16:00+00:00,1414.0,1414.199951171875,1412.800048828125,1413.4000244140625,129895,2025-05-15 04:16:00+00:00,1416.530010986328,
