Price,Date,Close,High,Low,Open,Volume,timestamp,SMA20,SMA50
Ticker,,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,,,
27,2022-02-10,1094.986328125,1101.7233944299917,1087.651276481824,1101.7233944299917,12464491,2022-02-10,1111.0806945800782,
28,2022-02-11,1092.8477783203125,1096.5727789731786,1077.9937558625486,1091.399160197497,15943370,2022-02-11,1107.426983642578,
29,2022-02-14,1075.4415283203125,1082.98349018528,1063.6916524074943,1076.223312599951,10719633,2022-02-14,1102.8178833007812,
30,2022-02-15,1111.95556640625,1114.6918720972137,1074.1308081873744,1081.2588267330414,11212671,2022-02-15,1099.7298217773437,
31,2022-02-16,1109.65625,1118.8767309150044,1101.838407116564,1117.49708296131,10392840,2022-02-16,1097.226953125,
32,2022-02-17,1123.705322265625,1128.9479112494046,1108.2995380294317,1112.9442633770416,12853252,2022-02-17,1095.431134033203,
33,2022-02-18,1114.921875,1129.637836614251,1112.9673533787452,1124.1193662139854,6775458,2022-02-18,1094.2113159179687,
34,2022-02-21,1103.6549072265625,1120.9462441595374,1096.6188483721467,1109.2193577615494,11107193,2022-02-21,1092.4189575195312,
35,2022-02-22,1098.6422119140625,1101.815450961507,1079.396475125296,1082.040699084101,13494914,2022-02-22,1092.6741882324218,
36,2022-02-23,1091.76708984375,1106.7130738193148,1088.9849253976759,1104.2067903177885,7310110,2022-02-23,1092.6925842285157,
37,2022-02-24,1037.36376953125,1076.0623959754782,1031.6843688017543,1060.012645496734,24846650,2022-02-24,1090.7990478515626,
38,2022-02-25,1050.3323974609375,1061.369338191157,1046.7913171426728,1048.5617964814912,14570089,2022-02-25,1089.6056762695312,
39,2022-02-28,1085.098876953125,1088.6859374509283,1031.5004883985234,1031.5004883985234,21297446,2022-02-28,1088.98369140625,
40,2022-03-02,1103.0340576171875,1104.160814760041,1071.1417094039746,1073.5560326007092,21471786,2022-03-02,1089.440118408203,
41,2022-03-03,1093.7215576171875,1110.5299804223027,1089.9275866132757,1103.7008326152613,10186748,2022-03-03,1089.319403076172,
42,2022-03-04,1069.463134765625,1087.2832426498348,1067.07180177203,1082.0866336249926,10805667,2022-03-04,1088.6939758300782,
43,2022-03-07,1029.9139404296875,1063.27789732171,1021.8430846355417,1047.9179700618129,17983310,2022-03-07,1086.5843017578125,
44,2022-03-08,1028.05126953125,1032.8800371018913,1002.5282095428774,1017.014268973567,21289374,2022-03-08,1084.7080017089843,
45,2022-03-09,1082.592529296875,1088.5249424038839,1027.430453729543,1028.2813298764268,20414228,2022-03-09,1084.6631652832032,
46,2022-03-10,1100.13671875,1106.0001614254588,1085.305808126955,1103.7007888367361,17980493,2022-03-10,1084.86435546875,
47,2022-03-11,1103.3099365234375,1108.7595583159086,1092.6868171649392,1092.6868171649392,12257423,2022-03-11,1085.280535888672,
48,2022-03-14,1112.369384765625,1114.9217698359757,1091.7440017160773,1097.6764146160917,8340678,2022-03-14,1086.2566162109374,
49,2022-03-15,1086.8924560546875,1116.554401379983,1076.4992375773352,1116.554401379983,15925769,2022-03-15,1086.8291625976562,1102.7889086914063
50,2022-03-16,1105.241455078125,1107.3339171430978,1093.169717617947,1095.4231102323886,11149828,2022-03-16,1086.49345703125,1102.7843115234375
51,2022-03-17,1141.272705078125,1148.4926842272225,1110.6449343768838,1118.7617698357499,21422098,2022-03-17,1088.0742797851562,1103.0013745117187
52,2022-03-21,1134.6964111328125,1142.3303330715853,1121.6359795600397,1123.9353521724336,11999466,2022-03-21,1088.6238342285155,1102.9811401367188
53,2022-03-22,1164.0135498046875,1165.7610390007426,1128.3502219866016,1131.339297025907,22557065,2022-03-22,1091.07841796875,1104.035634765625
54,2022-03-23,1167.7154541015625,1179.5113104300822,1160.2655740231883,1160.2655740231883,15462187,2022-03-23,1094.2814453125,1104.9848168945311
55,2022-03-24,1185.8575439453125,1188.3869390991463,1154.2871794442208,1154.2871794442208,13168266,2022-03-24,1098.6422119140625,1106.2784448242187
56,2022-03-25,1193.7674560546875,1203.0339171183139,1185.0987370153284,1187.6281321420306,14222488,2022-03-25,1103.7422302246093,1107.5688549804688
57,2022-03-28,1205.770263671875,1209.3572025011258,1189.467621827305,1200.2746617535786,9891424,2022-03-28,1112.1625549316407,1108.49642578125
58,2022-03-29,1206.046142578125,1213.1511716293533,1199.0790539984616,1213.1511716293533,8684065,2022-03-29,1119.9482421875,1109.2989086914063
59,2022-03-30,1229.223876953125,1236.1449851745513,1203.5398241282544,1214.025002631374,15811550,2022-03-30,1127.1544921875,1110.5309155273437
60,2022-03-31,1211.656494140625,1227.7292341224604,1208.8283497362925,1225.5448118767397,13223718,2022-03-31,1132.5856140136718,1111.2897094726563
61,2022-04-01,1221.3599853515625,1225.6368698755232,1205.7932691062604,1212.2314643304978,7922880,2022-04-01,1138.9675354003907,1112.52263671875
62,2022-04-04,1224.969970703125,1230.1665797479684,1214.8297651087748,1221.175999679304,7929162,2022-04-04,1146.7428771972657,1113.8296020507812
63,2022-04-05,1207.6556396484375,1227.821222008914,1205.1953364223366,1219.1754931402131,13149870,2022-04-05,1155.6299621582032,1115.1963500976562
64,2022-04-06,1204.4365234375,1211.5415520736842,1189.7435529022373,1189.7435529022373,12257215,2022-04-06,1164.4492248535157,1116.4950390625
65,2022-04-07,1183.1903076171875,1198.435161924078,1180.4999819674433,1193.4224735079135,15496499,2022-04-07,1169.4791137695313,1118.2880932617188
66,2022-04-08,1202.873046875,1207.1729214934535,1177.280953156619,1177.280953156619,15152495,2022-04-08,1174.6159301757812,1120.5175708007812
67,2022-04-11,1200.36669921875,1213.4041412110876,1187.858029015372,1195.6758718670937,9254209,2022-04-11,1179.468768310547,1123.02021484375
68,2022-04-12,1177.7637939453125,1196.8715894410943,1175.1654286147543,1189.6974688256896,13217742,2022-04-12,1182.7384887695312,1125.091494140625
69,2022-04-13,1173.44091796875,1192.2728323481263,1170.6126518900833,1183.9490862943182,10354235,2022-04-13,1187.0659118652343,1126.609541015625
70,2022-04-18,1169.8538818359375,1177.1889330736856,1159.7136761796276,1164.8643051005404,9974224,2022-04-18,1190.296533203125,1128.1285083007813
71,2022-04-19,1214.4388427734375,1226.9475132489567,1173.1650836651945,1176.361191108761,26141820,2022-04-19,1193.9548400878907,1130.4945678710938
72,2022-04-20,1250.1480712890625,1257.2992015821633,1218.2557258520476,1221.9347463442286,25072240,2022-04-20,1199.7274230957032,1133.858095703125
73,2022-04-21,1279.419189453125,1282.592306630823,1256.3793615181944,1265.0710702820995,21708633,2022-04-21,1205.497705078125,1138.0043310546876
