Price,Date,Close,High,Low,Open,Volume,timestamp,SMA20,SMA50
Ticker,,MSUMI.NS,MSUMI.NS,MSUMI.NS,MSUMI.NS,MSUMI.NS,,,
31,2022-05-13,42.74502182006836,44.21662679311358,41.88943744840362,41.88943744840362,4696510,2022-05-13,46.57633323669434,
32,2022-05-16,42.02633285522461,43.53216026366841,40.794287928234944,43.53216026366841,4819836,2022-05-16,46.17763061523438,
33,2022-05-17,43.361045837402344,43.7375026981556,41.27341644306158,42.026333820021414,4163506,2022-05-17,45.987690925598145,
34,2022-05-18,43.32682418823242,44.28507936044955,42.71079987284708,44.28507936044955,3123138,2022-05-18,45.910688400268555,
35,2022-05-19,42.53968811035156,43.05303809529132,41.239198313777635,42.36857266718954,3438327,2022-05-19,45.76352787017822,
36,2022-05-20,42.47123718261719,43.29259930233873,42.19745102786117,43.12148386947958,6234930,2022-05-20,45.52738647460937,
37,2022-05-23,42.77925109863281,43.32682708600255,41.957888945305015,42.91614418161184,6159699,2022-05-23,45.23477649688721,
38,2022-05-24,42.95035934448242,43.46371288898618,41.923659566380934,43.46371288898618,7279277,2022-05-24,44.98494548797608,
39,2022-05-25,41.41031265258789,43.42949000271593,41.17074886642491,43.25837457922235,6055386,2022-05-25,44.512662696838376,
40,2022-05-26,42.36856460571289,42.77924378443393,40.52049916283569,42.094774831112524,5920264,2022-05-26,44.18240661621094,
41,2022-05-27,43.66905212402344,43.97706426111305,41.41031107384551,41.75254190778534,9177270,2022-05-27,43.94797611236572,
42,2022-05-30,44.18240737915039,44.764205667870804,42.9503624390264,44.14818137008217,4358263,2022-05-30,43.7785701751709,
43,2022-05-31,44.90109634399414,45.41444624266342,43.73749982858755,43.80594818762157,10341893,2022-05-31,43.64167652130127,
44,2022-06-01,44.1481819152832,45.61979065979175,43.49793891130283,45.31177850709368,6690219,2022-06-01,43.54242877960205,
45,2022-06-02,43.49794006347656,44.18240909507805,43.395269343191,44.148183084680575,4282101,2022-06-02,43.3370885848999,
46,2022-06-03,43.87439727783203,44.456195593704415,42.84769737784244,43.94284564370962,10301209,2022-06-03,43.22072906494141,
47,2022-06-06,44.83264923095703,45.14066137199078,42.9845873511141,43.908616463308974,3633662,2022-06-06,43.20019474029541,
48,2022-06-07,44.66153335571289,44.969541838148075,43.18992468196173,44.21662815280302,5838060,2022-06-07,43.21388416290283,
49,2022-06-08,44.729976654052734,45.03798878225624,43.97706299238154,44.490412883934354,6613012,2022-06-08,43.29088668823242,45.129710083007815
50,2022-06-09,44.59308624267578,45.07221381137822,43.87439488962213,44.01128795847236,3568980,2022-06-09,43.45344791412354,45.173516006469725
51,2022-06-10,44.31930160522461,45.311779129575,43.737503301326775,43.94284473927974,27014610,2022-06-10,43.53216190338135,45.25359870910645
52,2022-06-13,43.805946350097656,44.55885999062395,43.326818823316756,43.46371188018945,3916610,2022-06-13,43.621142578125,45.28576866149902
53,2022-06-14,43.155704498291016,44.182408020727664,42.77924763670025,43.73750279545978,6810371,2022-06-14,43.61087551116943,45.26660362243652
54,2022-06-15,42.81346893310547,43.840172430177404,41.47875694572922,43.292596500648386,18473641,2022-06-15,43.58520774841308,45.23648696899414
55,2022-06-16,42.74502182006836,43.70327690120535,41.478754610514606,43.32682007010911,8730855,2022-06-16,43.59547443389893,45.18720527648926
56,2022-06-17,41.068077087402344,42.53968211990662,40.52050116657695,41.855213132738186,15337114,2022-06-17,43.525316429138186,45.09069534301758
57,2022-06-20,41.44453811645508,42.26590025286168,40.588953623872165,41.27341902466636,3048788,2022-06-20,43.458580780029294,44.98528739929199
